date,hits,geo,keyword,gprop
2020-01-01,0,world,coronavirus,web
2020-01-02,0,world,coronavirus,web
2020-01-03,0,world,coronavirus,web
2020-01-04,0,world,coronavirus,web
2020-01-05,0,world,coronavirus,web
2020-01-06,0,world,coronavirus,web
2020-01-07,0,world,coronavirus,web
2020-01-08,0,world,coronavirus,web
2020-01-09,0,world,coronavirus,web
2020-01-10,0,world,coronavirus,web
2020-01-11,0,world,coronavirus,web
2020-01-12,0,world,coronavirus,web
2020-01-13,0,world,coronavirus,web
2020-01-14,0,world,coronavirus,web
2020-01-15,0,world,coronavirus,web
2020-01-16,0,world,coronavirus,web
2020-01-17,0,world,coronavirus,web
2020-01-18,0,world,coronavirus,web
2020-01-19,0,world,coronavirus,web
2020-01-20,1,world,coronavirus,web
2020-01-21,4,world,coronavirus,web
2020-01-22,7,world,coronavirus,web
2020-01-23,10,world,coronavirus,web
2020-01-24,15,world,coronavirus,web
2020-01-25,19,world,coronavirus,web
2020-01-26,20,world,coronavirus,web
2020-01-27,21,world,coronavirus,web
2020-01-28,27,world,coronavirus,web
2020-01-29,25,world,coronavirus,web
2020-01-30,30,world,coronavirus,web
2020-01-31,30,world,coronavirus,web
2020-02-01,22,world,coronavirus,web
2020-02-02,18,world,coronavirus,web
2020-02-03,16,world,coronavirus,web
2020-02-04,14,world,coronavirus,web
2020-02-05,13,world,coronavirus,web
2020-02-06,14,world,coronavirus,web
2020-02-07,15,world,coronavirus,web
2020-02-08,14,world,coronavirus,web
2020-02-09,12,world,coronavirus,web
2020-02-10,13,world,coronavirus,web
2020-02-11,12,world,coronavirus,web
2020-02-12,12,world,coronavirus,web
2020-02-13,12,world,coronavirus,web
2020-02-14,10,world,coronavirus,web
2020-02-15,9,world,coronavirus,web
2020-02-16,9,world,coronavirus,web
2020-02-17,8,world,coronavirus,web
2020-02-18,8,world,coronavirus,web
2020-02-19,7,world,coronavirus,web
2020-02-20,7,world,coronavirus,web
2020-02-21,13,world,coronavirus,web
2020-02-22,21,world,coronavirus,web
2020-02-23,32,world,coronavirus,web
2020-02-24,36,world,coronavirus,web
2020-02-25,45,world,coronavirus,web
2020-02-26,52,world,coronavirus,web
2020-02-27,51,world,coronavirus,web
2020-02-28,53,world,coronavirus,web
2020-02-29,49,world,coronavirus,web
2020-03-01,47,world,coronavirus,web
2020-03-02,56,world,coronavirus,web
2020-03-03,57,world,coronavirus,web
2020-03-04,61,world,coronavirus,web
2020-03-05,64,world,coronavirus,web
2020-03-06,67,world,coronavirus,web
2020-03-07,63,world,coronavirus,web
2020-03-08,70,world,coronavirus,web
2020-03-09,87,world,coronavirus,web
2020-03-10,100,world,coronavirus,web
